noise,poly_name,family,sweep_parameter,sweep_value,degree,q,epsilon,n_samples,seed,target,emp_naive_mean,emp_naive_var,emp_naive_mse,emp_naive_bias,sym_naive_mean,sym_naive_var,sym_naive_mse,sym_naive_bias,err_naive_var_rel,err_naive_mse_rel,emp_unbiased_mean,emp_unbiased_var,emp_unbiased_mse,emp_unbiased_bias,sym_unbiased_mean,sym_unbiased_var,sym_unbiased_mse,sym_unbiased_bias,err_unbiased_var_rel,err_unbiased_mse_rel,emp_var_ratio_unbiased_over_naive,emp_mse_ratio_unbiased_over_naive,sym_var_ratio_unbiased_over_naive,sym_mse_ratio_unbiased_over_naive
laplace,quadratic,baseline,fixed,nan,2,0.0,0.1,20000,1337,0.0,197.26849820137232,185840.77333961485,224755.63372223973,197.26849820137232,199.99999999999997,199999.99999999997,239999.99999999994,199.99999999999997,0.07079613330192559,0.06351819282400091,-2.7315017986276735,185840.77333961485,185848.2344416908,-2.7315017986276735,0.0,199999.99999999997,199999.99999999997,0.0,0.07079613330192559,0.07075882779154592,1.0,0.826890215670269,1.0,0.8333333333333334
laplace,quadratic,baseline,fixed,nan,2,0.0,0.5,20000,1337,0.0,7.890739928054891,297.34523734338387,359.6090139555835,7.890739928054891,8.0,320.0,384.0,8.0,0.0707961333019254,0.06351819282400124,-0.10926007194510791,297.34523734338387,297.3571751067052,-0.10926007194510791,0.0,320.0,320.0,0.0,0.0707961333019254,0.07075882779154626,1.0,0.8268902156702689,1.0,0.8333333333333334
laplace,quadratic,baseline,fixed,nan,2,0.0,1.0,20000,1337,0.0,1.9726849820137227,18.584077333961492,22.47556337222397,1.9726849820137227,2.0,20.0,24.0,2.0,0.0707961333019254,0.06351819282400124,-0.027315017986276977,18.584077333961492,18.584823444169075,-0.027315017986276977,0.0,20.0,20.0,0.0,0.0707961333019254,0.07075882779154626,1.0,0.8268902156702689,1.0,0.8333333333333334
laplace,quadratic,baseline,fixed,nan,2,0.0,1.5,20000,1337,0.0,0.8767488808949878,3.6709288560911575,4.439617456241772,0.8767488808949878,0.8888888888888888,3.950617283950617,4.7407407407407405,0.8888888888888888,0.0707961333019257,0.06351819282400124,-0.012140007993900937,3.6709288560911575,3.6710762358852493,-0.012140007993900937,0.0,3.950617283950617,3.950617283950617,0.0,0.0707961333019257,0.07075882779154621,1.0,0.826890215670269,1.0,0.8333333333333334
laplace,quadratic,baseline,fixed,nan,2,0.0,2.0,20000,1337,0.0,0.49317124550343067,1.1615048333725932,1.4047227107639981,0.49317124550343067,0.5,1.25,1.5,0.5,0.0707961333019254,0.06351819282400124,-0.006828754496569244,1.1615048333725932,1.1615514652605672,-0.006828754496569244,0.0,1.25,1.25,0.0,0.0707961333019254,0.07075882779154626,1.0,0.8268902156702689,1.0,0.8333333333333334
laplace,quadratic,baseline,fixed,nan,2,0.0,3.0,20000,1337,0.0,0.21918722022374695,0.22943305350569734,0.2774760910151107,0.21918722022374695,0.2222222222222222,0.24691358024691357,0.2962962962962963,0.2222222222222222,0.0707961333019257,0.06351819282400124,-0.003035001998475234,0.22943305350569734,0.22944226474282808,-0.003035001998475234,0.0,0.24691358024691357,0.24691358024691357,0.0,0.0707961333019257,0.07075882779154621,1.0,0.826890215670269,1.0,0.8333333333333334
laplace,quadratic,baseline,fixed,nan,2,0.0,4.0,20000,1337,0.0,0.12329281137585767,0.07259405208578708,0.08779516942274988,0.12329281137585767,0.125,0.078125,0.09375,0.125,0.0707961333019254,0.06351819282400124,-0.001707188624142311,0.07259405208578708,0.07259696657878545,-0.001707188624142311,0.0,0.078125,0.078125,0.0,0.0707961333019254,0.07075882779154626,1.0,0.8268902156702689,1.0,0.8333333333333334
laplace,quadratic,baseline,fixed,nan,2,0.0,5.0,20000,1337,0.0,0.07890739928054893,0.029734523734338388,0.03596090139555836,0.07890739928054893,0.08,0.032,0.038400000000000004,0.08,0.07079613330192541,0.06351819282400112,-0.0010926007194510731,0.029734523734338388,0.029735717510670532,-0.0010926007194510731,0.0,0.032,0.032,0.0,0.07079613330192541,0.0707588277915459,1.0,0.8268902156702691,1.0,0.8333333333333333
laplace,quadratic,baseline,fixed,nan,2,0.0,6.0,20000,1337,0.0,0.05479680505593674,0.014339565844106084,0.01734225568844442,0.05479680505593674,0.05555555555555555,0.015432098765432098,0.018518518518518517,0.05555555555555555,0.0707961333019257,0.06351819282400124,-0.0007587504996188085,0.014339565844106084,0.014340141546426755,-0.0007587504996188085,0.0,0.015432098765432098,0.015432098765432098,0.0,0.0707961333019257,0.07075882779154621,1.0,0.826890215670269,1.0,0.8333333333333334
laplace,quadratic,baseline,fixed,nan,2,0.0,7.0,20000,1337,0.0,0.040258877183953524,0.007740140497276754,0.009360917689389407,0.040258877183953524,0.04081632653061224,0.008329862557267805,0.009995835068721367,0.04081632653061224,0.07079613330192569,0.06351819282400153,-0.0005574493466587148,0.007740140497276752,0.007740451247050844,-0.0005574493466587148,0.0,0.008329862557267805,0.008329862557267805,0.0,0.0707961333019259,0.0707588277915462,0.9999999999999998,0.8268902156702691,1.0,0.8333333333333333
