epsilon,noise_scale,delta,x_min,x_max,u,v_upper
2,0.5,1,-15,15,-12,-1578.75
2,0.5,1,-15,15,-11.9,-1573.851667
2,0.5,1,-15,15,-11.8,-1568.956667
2,0.5,1,-15,15,-11.7,-1564.065
2,0.5,1,-15,15,-11.6,-1559.176667
2,0.5,1,-15,15,-11.5,-1554.291667
2,0.5,1,-15,15,-11.4,-1549.41
2,0.5,1,-15,15,-11.3,-1544.531667
2,0.5,1,-15,15,-11.2,-1539.656667
2,0.5,1,-15,15,-11.1,-1534.785
2,0.5,1,-15,15,-11,-1529.916667
2,0.5,1,-15,15,-10.9,-1525.051667
2,0.5,1,-15,15,-10.8,-1520.19
2,0.5,1,-15,15,-10.7,-1515.331667
2,0.5,1,-15,15,-10.6,-1510.476667
2,0.5,1,-15,15,-10.5,-1505.625
2,0.5,1,-15,15,-10.4,-1500.776667
2,0.5,1,-15,15,-10.3,-1495.931667
2,0.5,1,-15,15,-10.2,-1491.09
2,0.5,1,-15,15,-10.1,-1486.251667
2,0.5,1,-15,15,-10,-1481.416667
2,0.5,1,-15,15,-9.9,-1476.585
2,0.5,1,-15,15,-9.8,-1471.756667
2,0.5,1,-15,15,-9.7,-1466.931667
2,0.5,1,-15,15,-9.6,-1462.11
2,0.5,1,-15,15,-9.5,-1457.291667
2,0.5,1,-15,15,-9.4,-1452.476667
2,0.5,1,-15,15,-9.3,-1447.665
2,0.5,1,-15,15,-9.2,-1442.856667
2,0.5,1,-15,15,-9.1,-1438.051667
2,0.5,1,-15,15,-9,-1433.25
2,0.5,1,-15,15,-8.9,-1428.451667
2,0.5,1,-15,15,-8.8,-1423.656667
2,0.5,1,-15,15,-8.7,-1418.865
2,0.5,1,-15,15,-8.6,-1414.076667
2,0.5,1,-15,15,-8.5,-1409.291667
2,0.5,1,-15,15,-8.4,-1404.51
2,0.5,1,-15,15,-8.3,-1399.731667
2,0.5,1,-15,15,-8.2,-1394.956667
2,0.5,1,-15,15,-8.1,-1390.185
2,0.5,1,-15,15,-8,-1385.416667
2,0.5,1,-15,15,-7.9,-1380.651667
2,0.5,1,-15,15,-7.8,-1375.89
2,0.5,1,-15,15,-7.7,-1371.131667
2,0.5,1,-15,15,-7.6,-1366.376667
2,0.5,1,-15,15,-7.5,-1361.625
2,0.5,1,-15,15,-7.4,-1356.876667
2,0.5,1,-15,15,-7.3,-1352.131667
2,0.5,1,-15,15,-7.2,-1347.39
2,0.5,1,-15,15,-7.1,-1342.651667
2,0.5,1,-15,15,-7,-1337.916667
2,0.5,1,-15,15,-6.9,-1333.185
2,0.5,1,-15,15,-6.8,-1328.456667
2,0.5,1,-15,15,-6.7,-1323.731667
2,0.5,1,-15,15,-6.6,-1319.01
2,0.5,1,-15,15,-6.5,-1314.291667
2,0.5,1,-15,15,-6.4,-1309.576667
2,0.5,1,-15,15,-6.3,-1304.865
2,0.5,1,-15,15,-6.2,-1300.156667
2,0.5,1,-15,15,-6.1,-1295.451667
2,0.5,1,-15,15,-6,-1290.75
2,0.5,1,-15,15,-5.9,-1286.051667
2,0.5,1,-15,15,-5.8,-1281.356667
2,0.5,1,-15,15,-5.7,-1276.665
2,0.5,1,-15,15,-5.6,-1271.976667
2,0.5,1,-15,15,-5.5,-1267.291667
2,0.5,1,-15,15,-5.4,-1262.61
2,0.5,1,-15,15,-5.3,-1257.931667
2,0.5,1,-15,15,-5.2,-1253.256667
2,0.5,1,-15,15,-5.1,-1248.585
2,0.5,1,-15,15,-5,-1243.916667
2,0.5,1,-15,15,-4.9,-1239.251667
2,0.5,1,-15,15,-4.8,-1234.59
2,0.5,1,-15,15,-4.7,-1229.931667
2,0.5,1,-15,15,-4.6,-1225.276667
2,0.5,1,-15,15,-4.5,-1220.625
2,0.5,1,-15,15,-4.4,-1215.976667
2,0.5,1,-15,15,-4.3,-1211.331667
2,0.5,1,-15,15,-4.2,-1206.69
2,0.5,1,-15,15,-4.1,-1202.051667
2,0.5,1,-15,15,-4,-1197.416667
2,0.5,1,-15,15,-3.9,-1192.785
2,0.5,1,-15,15,-3.8,-1188.156667
2,0.5,1,-15,15,-3.7,-1183.531667
2,0.5,1,-15,15,-3.6,-1178.91
2,0.5,1,-15,15,-3.5,-1174.291667
2,0.5,1,-15,15,-3.4,-1169.676667
2,0.5,1,-15,15,-3.3,-1165.065
2,0.5,1,-15,15,-3.2,-1160.456667
2,0.5,1,-15,15,-3.1,-1155.851667
2,0.5,1,-15,15,-3,-1151.25
2,0.5,1,-15,15,-2.9,-1146.651667
