epsilon,noise_scale,delta,x_min,x_max,u,v_upper
7,0.1428571429,1,-15,15,-12,-1576.683673
7,0.1428571429,1,-15,15,-11.9,-1571.78534
7,0.1428571429,1,-15,15,-11.8,-1566.89034
7,0.1428571429,1,-15,15,-11.7,-1561.998673
7,0.1428571429,1,-15,15,-11.6,-1557.11034
7,0.1428571429,1,-15,15,-11.5,-1552.22534
7,0.1428571429,1,-15,15,-11.4,-1547.343673
7,0.1428571429,1,-15,15,-11.3,-1542.46534
7,0.1428571429,1,-15,15,-11.2,-1537.59034
7,0.1428571429,1,-15,15,-11.1,-1532.718673
7,0.1428571429,1,-15,15,-11,-1527.85034
7,0.1428571429,1,-15,15,-10.9,-1522.98534
7,0.1428571429,1,-15,15,-10.8,-1518.123673
7,0.1428571429,1,-15,15,-10.7,-1513.26534
7,0.1428571429,1,-15,15,-10.6,-1508.41034
7,0.1428571429,1,-15,15,-10.5,-1503.558673
7,0.1428571429,1,-15,15,-10.4,-1498.71034
7,0.1428571429,1,-15,15,-10.3,-1493.86534
7,0.1428571429,1,-15,15,-10.2,-1489.023673
7,0.1428571429,1,-15,15,-10.1,-1484.18534
7,0.1428571429,1,-15,15,-10,-1479.35034
7,0.1428571429,1,-15,15,-9.9,-1474.518673
7,0.1428571429,1,-15,15,-9.8,-1469.69034
7,0.1428571429,1,-15,15,-9.7,-1464.86534
7,0.1428571429,1,-15,15,-9.6,-1460.043673
7,0.1428571429,1,-15,15,-9.5,-1455.22534
7,0.1428571429,1,-15,15,-9.4,-1450.41034
7,0.1428571429,1,-15,15,-9.3,-1445.598673
7,0.1428571429,1,-15,15,-9.2,-1440.79034
7,0.1428571429,1,-15,15,-9.1,-1435.98534
7,0.1428571429,1,-15,15,-9,-1431.183673
7,0.1428571429,1,-15,15,-8.9,-1426.38534
7,0.1428571429,1,-15,15,-8.8,-1421.59034
7,0.1428571429,1,-15,15,-8.7,-1416.798673
7,0.1428571429,1,-15,15,-8.6,-1412.01034
7,0.1428571429,1,-15,15,-8.5,-1407.22534
7,0.1428571429,1,-15,15,-8.4,-1402.443673
7,0.1428571429,1,-15,15,-8.3,-1397.66534
7,0.1428571429,1,-15,15,-8.2,-1392.89034
