epsilon,noise_scale,delta,x_min,x_max,u,v_upper
0.5,2,1,-15,15,1,-1093.666667
0.5,2,1,-15,15,1.1,-1098.201667
0.5,2,1,-15,15,1.2,-1102.74
0.5,2,1,-15,15,1.3,-1107.281667
0.5,2,1,-15,15,1.4,-1111.826667
0.5,2,1,-15,15,1.5,-1116.375
0.5,2,1,-15,15,1.6,-1120.926667
0.5,2,1,-15,15,1.7,-1125.481667
0.5,2,1,-15,15,1.8,-1130.04
0.5,2,1,-15,15,1.9,-1134.601667
0.5,2,1,-15,15,2,-1139.166667
0.5,2,1,-15,15,2.1,-1143.735
0.5,2,1,-15,15,2.2,-1148.306667
0.5,2,1,-15,15,2.3,-1152.881667
0.5,2,1,-15,15,2.4,-1157.46
0.5,2,1,-15,15,2.5,-1162.041667
0.5,2,1,-15,15,2.6,-1166.626667
0.5,2,1,-15,15,2.7,-1171.215
0.5,2,1,-15,15,2.8,-1175.806667
0.5,2,1,-15,15,2.9,-1180.401667
0.5,2,1,-15,15,3,-1185
0.5,2,1,-15,15,3.1,-1189.601667
0.5,2,1,-15,15,3.2,-1194.206667
0.5,2,1,-15,15,3.3,-1198.815
0.5,2,1,-15,15,3.4,-1203.426667
0.5,2,1,-15,15,3.5,-1208.041667
0.5,2,1,-15,15,3.6,-1212.66
0.5,2,1,-15,15,3.7,-1217.281667
0.5,2,1,-15,15,3.8,-1221.906667
0.5,2,1,-15,15,3.9,-1226.535
0.5,2,1,-15,15,4,-1231.166667
0.5,2,1,-15,15,4.1,-1235.801667
0.5,2,1,-15,15,4.2,-1240.44
0.5,2,1,-15,15,4.3,-1245.081667
0.5,2,1,-15,15,4.4,-1249.726667
0.5,2,1,-15,15,4.5,-1254.375
0.5,2,1,-15,15,4.6,-1259.026667
0.5,2,1,-15,15,4.7,-1263.681667
0.5,2,1,-15,15,4.8,-1268.34
0.5,2,1,-15,15,4.9,-1273.001667
0.5,2,1,-15,15,5,-1277.666667
0.5,2,1,-15,15,5.1,-1282.335
0.5,2,1,-15,15,5.2,-1287.006667
0.5,2,1,-15,15,5.3,-1291.681667
0.5,2,1,-15,15,5.4,-1296.36
0.5,2,1,-15,15,5.5,-1301.041667
0.5,2,1,-15,15,5.6,-1305.726667
0.5,2,1,-15,15,5.7,-1310.415
0.5,2,1,-15,15,5.8,-1315.106667
0.5,2,1,-15,15,5.9,-1319.801667
0.5,2,1,-15,15,6,-1324.5
0.5,2,1,-15,15,6.1,-1329.201667
0.5,2,1,-15,15,6.2,-1333.906667
0.5,2,1,-15,15,6.3,-1338.615
0.5,2,1,-15,15,6.4,-1343.326667
0.5,2,1,-15,15,6.5,-1348.041667
0.5,2,1,-15,15,6.6,-1352.76
0.5,2,1,-15,15,6.7,-1357.481667
0.5,2,1,-15,15,6.8,-1362.206667
0.5,2,1,-15,15,6.9,-1366.935
0.5,2,1,-15,15,7,-1371.666667
0.5,2,1,-15,15,7.1,-1376.401667
0.5,2,1,-15,15,7.2,-1381.14
0.5,2,1,-15,15,7.3,-1385.881667
0.5,2,1,-15,15,7.4,-1390.626667
0.5,2,1,-15,15,7.5,-1395.375
0.5,2,1,-15,15,7.6,-1400.126667
0.5,2,1,-15,15,7.7,-1404.881667
0.5,2,1,-15,15,7.8,-1409.64
0.5,2,1,-15,15,7.9,-1414.401667
0.5,2,1,-15,15,8,-1419.166667
0.5,2,1,-15,15,8.1,-1423.935
