epsilon,noise_scale,delta,x_min,x_max,u,v_upper
10,0.1,1,-15,15,-12,-1576.59
10,0.1,1,-15,15,-11.9,-1571.691667
10,0.1,1,-15,15,-11.8,-1566.796667
10,0.1,1,-15,15,-11.7,-1561.905
10,0.1,1,-15,15,-11.6,-1557.016667
10,0.1,1,-15,15,-11.5,-1552.131667
10,0.1,1,-15,15,-11.4,-1547.25
10,0.1,1,-15,15,-11.3,-1542.371667
10,0.1,1,-15,15,-11.2,-1537.496667
10,0.1,1,-15,15,-11.1,-1532.625
10,0.1,1,-15,15,-11,-1527.756667
10,0.1,1,-15,15,-10.9,-1522.891667
10,0.1,1,-15,15,-10.8,-1518.03
10,0.1,1,-15,15,-10.7,-1513.171667
10,0.1,1,-15,15,-10.6,-1508.316667
10,0.1,1,-15,15,-10.5,-1503.465
10,0.1,1,-15,15,-10.4,-1498.616667
10,0.1,1,-15,15,-10.3,-1493.771667
10,0.1,1,-15,15,-10.2,-1488.93
10,0.1,1,-15,15,-10.1,-1484.091667
10,0.1,1,-15,15,-10,-1479.256667
10,0.1,1,-15,15,-9.9,-1474.425
10,0.1,1,-15,15,-9.8,-1469.596667
10,0.1,1,-15,15,-9.7,-1464.771667
10,0.1,1,-15,15,-9.6,-1459.95
10,0.1,1,-15,15,-9.5,-1455.131667
10,0.1,1,-15,15,-9.4,-1450.316667
10,0.1,1,-15,15,-9.3,-1445.505
10,0.1,1,-15,15,-9.2,-1440.696667
10,0.1,1,-15,15,-9.1,-1435.891667
10,0.1,1,-15,15,-9,-1431.09
10,0.1,1,-15,15,-8.9,-1426.291667
10,0.1,1,-15,15,-8.8,-1421.496667
10,0.1,1,-15,15,-8.7,-1416.705
10,0.1,1,-15,15,-8.6,-1411.916667
10,0.1,1,-15,15,-8.5,-1407.131667
10,0.1,1,-15,15,-8.4,-1402.35
10,0.1,1,-15,15,-8.3,-1397.571667
10,0.1,1,-15,15,-8.2,-1392.796667
10,0.1,1,-15,15,-8.1,-1388.025
10,0.1,1,-15,15,-8,-1383.256667
10,0.1,1,-15,15,-7.9,-1378.491667
10,0.1,1,-15,15,-7.8,-1373.73
10,0.1,1,-15,15,-7.7,-1368.971667
10,0.1,1,-15,15,-7.6,-1364.216667
10,0.1,1,-15,15,-7.5,-1359.465
10,0.1,1,-15,15,-7.4,-1354.716667
10,0.1,1,-15,15,-7.3,-1349.971667
10,0.1,1,-15,15,-7.2,-1345.23
10,0.1,1,-15,15,-7.1,-1340.491667
10,0.1,1,-15,15,-7,-1335.756667
10,0.1,1,-15,15,-6.9,-1331.025
10,0.1,1,-15,15,-6.8,-1326.296667
10,0.1,1,-15,15,-6.7,-1321.571667
10,0.1,1,-15,15,-6.6,-1316.85
